id,open_data_platform,open_data_volume,institution_id,institution_name
LqwK4G1VBKqYjWJ26vnP2,Aggregator,"4,556",654ef97538414b3c9546e79f11a947e8,Loviisan kaupunginmuseo
46F6oOeBSLaVGN8fdcBFyR,Aggregator,"31,866",aecb356187f14e5884a18c57dc199865,Lappeenrannan museot
5lBbZPUpWjYG2kZDoCrz0D,Aggregator,"301,828",5b94106ad3de423baa4095ced465203f,Museovirasto
5PBkot2NOE5239I30fksGF,Flickr,719,5b94106ad3de423baa4095ced465203f,Museovirasto
6yzPNI7MMM4eUjPJvptY3p,Aggregator,"7,763",8dd0234dafa9437b8c9f16166b46c24f,Kymenlaakson museo
2tqZANHyma8RQOZDiojUZK,Aggregator,421,036266ce2c0442f68efdd8142583fcf0,Naantalin museo
3J6uw2hjMl6Mf3sKL0haxy,Aggregator,"17,938",1dc6647e00ef4f2e9e4a0144cca398e2,Lahden museot
3Obccx0RxKqhBZlsLZ4Szn,Aggregator,"86,308",b07a2ca775b34575a708589d7c1dfab1,Lusto - Suomen metsämuseo
7hDnkSeXhra5SB5fEzyKYC,Europeana,"78,484",b07a2ca775b34575a708589d7c1dfab1,Lusto - Suomen metsämuseo
7hgkh3HhvbcBhXMrHL8Wyw,Aggregator,1,7d6a45fc50ee44fa93b1d39a5942625e,Nurmijärven museo
6S8aiVePTaHkdTgcjz9T9t,Aggregator,480,c63895a60d8b4db6b8a9c1d6a1d6e270,Järvenpään taidemuseo
24fCkWDaiHHYEacUV1IZtU,Europeana,479,c63895a60d8b4db6b8a9c1d6a1d6e270,Järvenpään taidemuseo
6FVtDzfkCbEhagLD3oHB20,Aggregator,"1,137",1c53faf4de8c4b5cbc2b09e4551907a5,Kustavin museo
2iPN75hMScPJuBzCd1rV6J,Aggregator,"4,467",43c903f8a2c24fd7b93eb4f937d731d2,Imatran kaupunginmuseo
428Ec7LU7pBQBHtAPM5YzV,Aggregator,"1,255",cc408cd806874fc7858e1b088bb44f1f,Keravan museopalvelut
7jcqcjm2LxEWbzxgtJ6K0Y,Aggregator,"70,250",fa8392f60cd941b79cf487105dd4fda2,Kansallismuseo
1ihATUqk9StsXz3LQ5uAPC,Aggregator,"10,345",00a21626ecab4c3fb8ec802ebfeae7da,Kuopion kulttuurihistoriallinen museo
4r7dwPHh8utYIJSR7Mb1v2,Aggregator,9,adcb03896a234de6b1bb130446323803,Helsingin seudun yliopistollinen keskussairaala
D0FSxuDFpFSLG5TZMjkQq,Aggregator,36,fa40a10258574deda9350aaceab6ff74,Ilomantsin museosäätiö
2UPwffW882YVapZSl2zaWP,Aggregator,"39,687",d823000f239a47dfaa14760c5b12541e,Helsingin kaupungin­arkisto
27m2pebrC5EGyfOKMiMjbv,Aggregator,"96,713",13968753b1c34f739488361defb5f101,Helsingin kaupunginmuseo
14uxdLa2yOFGsi9FJXK9sY,Own website,"65,000",13968753b1c34f739488361defb5f101,Helsingin kaupunginmuseo
3rq4s5ptXka23nDZk0zyPy,Flickr Commons,809,5eba143c81514c6ebaddb32f0168aa87,Aalto yliopiston arkisto
6O4CxRanRN1kjYQOcqriTF,Aggregator,"2,909",c4e66c39c9ac4e4fa533cc0febd792c0,Forum Marinum
